player,pronounced,age,birthplace,residence,turned_pro,coach,website,imageURL,player_country,current_rank,player_atp_url,high_rank,high_rank_date,record_career,titles_career,prize_money_career,date_of_birth,player_age,height_cm,height_inches,height_feet,weight_lbs,weight_kgs,wins_career,losses_career,career_win_pct,hand,player_bmi,gender,birth_city,birth_state,birth_country,residence_city,residence_state,residence_country,tour,date_data
Alberto Berasategui,ber-ah-sah-THE-ghee,41 (28.06.1973),"Bilbao, Spain",Andorra,1991,Francisco Roig,NA,http://www.atpworldtour.com/~/media/3B5DA29FF87E44F485CF4DEC88A1B658.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/Be/A/Alberto-Berasategui.aspx,7,11/14/94,278-199,14,4676187,6/28/73,41y 0m 31d 18H 0M 0S,173,68.110273,5.675853813,145,66,278,199,0.582809224,R,21.97344167,M,Bilbao,,Spain,Andorra,,Andorra,ATP,8/1/14
Alberto Mancini,man-SEEN-ee,45 (20.05.1969),"Misiones, Argentina","Buenos Aires, Argentina",1987,NA,NA,http://www.atpworldtour.com/~/media/EF2DBE12298F4C5E9652C327669C6749.ashx?w=148&h=198,Argentina,Inactive,http://www.atpworldtour.com/Tennis/Players/Ma/A/Alberto-Mancini.aspx,8,10/9/89,148-125,3,1543120,5/20/69,45y 0m 70d 18H 0M 0S,180,70.86618,5.905512638,174,79,148,125,0.542124542,R,24.35715318,M,Misiones,,Argentina,Buenos Aires,,Argentina,ATP,8/1/14
Alberto Martin,mar-TEEN,35 (20.08.1978),"Barcelona, Spain","Barcelona, Spain",1995,Marcos Gorriz,NA,http://www.atpworldtour.com/~/media/DBDEB8103EF64071BEB369096A2D5660.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/Ma/A/Alberto-Martin.aspx,34,6/11/01,218-269,3,3840885,8/20/78,35y 0m 344d 6H 0M 0S,175,68.897675,5.74147062,162,73,218,269,0.447638604,R,23.99171017,M,Barcelona,,Spain,Barcelona,,Spain,ATP,8/1/14
Alberto Tous,NA,51 (03.08.1962),"Palma, Mallorca, Spain",NA,NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/To/A/Alberto-Tous.aspx,52,8/10/87,40-61,0,200221,8/3/62,51y 0m 361d 6H 0M 0S,175,68.897675,5.74147062,154,70,40,61,0.396039604,R,22.80693436,M,Palma,Mallorca,Spain,,,,ATP,8/1/14
Alejandro Falla,NA,30 (14.11.1983),"Cali, Colombia","Bogota, Colombia",2000,Miguel Tobon,NA,http://www.atpworldtour.com/~/media/F54F58CC63254179A00BEEFA3F12C155.ashx?w=148&h=198,Colombia,74,http://www.atpworldtour.com/Tennis/Players/Top-Players/Alejandro-Falla.aspx,74,7/16/12,104-149,0,2653965,11/14/83,30y 0m 258d 12H 0M 0S,185,72.834685,6.069554656,169,77,104,149,0.411067194,L,22.39574619,M,Cali,,Colombia,Bogota,,Colombia,ATP,8/1/14
Alejandro Ganzabal,NA,54 (16.02.1960),"Buenos Aires, Argentina",NA,NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Argentina,Inactive,http://www.atpworldtour.com/Tennis/Players/Ga/A/Alejandro-Ganzabal.aspx,58,1/28/85,46-67,0,151882,2/16/60,54y 0m 164d 12H 0M 0S,180,70.86618,5.905512638,160,73,46,67,0.407079646,R,22.39738223,M,Buenos Aires,,Argentina,,,,ATP,8/1/14
Alejandro Gonzalez,NA,25 (07.02.1989),"Medellin, Colombia","Medellin, Colombia",2006,Pablo Fuente,NA,http://www.atpworldtour.com/~/media/1CE7E2A54333481B8BB2F36D644A55EB.ashx?w=148&h=198,Colombia,85,http://www.atpworldtour.com/Tennis/Players/Go/A/Alejandro-Gonzalez-G892.aspx,85,6/9/14,17-Aug,0,586431,2/7/89,25y 0m 172d 18H 0M 0S,190,74.80319,6.233596673,182,83,8,17,0.32,R,22.86580394,M,Medellin,,Colombia,Medellin,,Colombia,ATP,8/1/14
Alejandro Pierola,NA,64 (20.11.1949),NA,NA,NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Chile,Inactive,http://www.atpworldtour.com/Tennis/Players/Pi/A/Alejandro-Pierola.aspx,82,12/26/79,16-46,0,0,11/20/49,64y 0m 252d 0H 0M 0S,NA,NA,NA,NA,NA,16,46,0.258064516,R,NA,M,,,,,,,ATP,8/1/14
Aleksandr Nedovyesov,NA,27 (15.02.1987),"Alushta, Ukraine","Astana, Kazakhstan",NA,NA,NA,http://www.atpworldtour.com/~/media/48FCE80A6CF041FB866DEB6C6B7CF6C7.ashx?w=148&h=198,Kazakhstan,106,http://www.atpworldtour.com/Tennis/Players/Ne/A/Aleksandr-Nedovyesov.aspx,106,4/21/14,14-Feb,0,429197,2/15/87,27y 0m 165d 6H 0M 0S,193,75.984293,6.332021884,183,83,2,14,0.125,R,22.28223555,M,Alushta,,Ukraine,Astana,,Kazakhstan,ATP,8/1/14
Alessio Di Mauro,NA,36 (09.08.1977),"Siracusa, Italy","Siracusa, Italy",1998,Fabio Rizzo,NA,http://www.atpworldtour.com/~/media/AB59F6641B364F5AA7B203267786A9A6.ashx?w=148&h=198,Italy,422,http://www.atpworldtour.com/Tennis/Players/Di/A/Alessio-Di-Mauro.aspx,422,2/26/07,17-36,0,834337,8/9/77,36y 0m 355d 0H 0M 0S,185,72.834685,6.069554656,156,71,17,36,0.320754717,L,20.67299648,M,Siracusa,,Italy,Siracusa,,Italy,ATP,8/1/14
Alex Antonitsch,AN-tow-nitch,48 (08.02.1966),"Villach, Austria","Vienna, Austria",1988,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Austria,Inactive,http://www.atpworldtour.com/Tennis/Players/An/A/Alex-Antonitsch.aspx,40,7/9/90,106-143,1,1024171,2/8/66,48y 0m 172d 0H 0M 0S,188,74.015788,6.167979866,188,85,106,143,0.425702811,R,24.1248399,M,Villach,,Austria,Vienna,,Austria,ATP,8/1/14
Alex Bogomolov Jr.,bo-go-MOLE-off,31 (23.04.1983),"Moscow, Russia","Boca Raton, Florida, USA",2002,Schab Yoav,NA,http://www.atpworldtour.com/~/media/22D80A2D7D15401F9742F49A4F9E96B4.ashx?w=148&h=198,Russian Federation,161,http://www.atpworldtour.com/Tennis/Players/Top-Players/Alex-Bogomolov-Jr.aspx,161,10/31/11,70-107,0,2040133,4/23/83,31y 0m 98d 6H 0M 0S,178,70.078778,5.839895831,165,75,70,107,0.395480226,R,23.61925684,M,Moscow,,Russia,Boca Raton,Florida,USA,ATP,8/1/14
Alex Calatrava,Ca-lah-TRA-va,41 (14.06.1973),"Cologne, Germany",Andorra,1993,Francisco Altur,NA,http://www.atpworldtour.com/~/media/C49009F7D3EC4C32BB5854BD18B4F013.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/Ca/A/Alex-Calatrava.aspx,44,2/12/01,67-109,1,1335933,6/14/73,41y 0m 45d 18H 0M 0S,190,74.80319,6.233596673,181,82,67,109,0.380681818,R,22.74016765,M,Cologne,,Germany,Andorra,,Andorra,ATP,8/1/14
Alex Corretja,koor-RAYT-djah,40 (11.04.1974),"Barcelona, Spain","Barcelona, Spain",1991,Enrique Perez,http://www.alexcorretja.com,http://www.atpworldtour.com/~/media/FF8F2AF92264474EAC2CE03CD30EC8CD.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/Co/A/Alex-Corretja.aspx,2,2/1/99,438-281,17,10411354,4/11/74,40y 0m 110d 0H 0M 0S,180,70.86618,5.905512638,160,73,438,281,0.609179416,R,22.39738223,M,Barcelona,,Spain,Barcelona,,Spain,ATP,8/1/14
Alex Lopez Moron,NA,43 (28.11.1970),"Barcelona, Spain","Barcelona, Spain",1990,Victor Lopez-Moron,NA,http://www.atpworldtour.com/~/media/49C34EF2718849028C2F28D3A7BD6E6B.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/Lo/A/Alex-Lopez-Moron.aspx,100,10/9/95,18-36,0,833225,11/28/70,43y 0m 244d 6H 0M 0S,175,68.897675,5.74147062,155,70,18,36,0.333333333,R,22.95503134,M,Barcelona,,Spain,Barcelona,,Spain,ATP,8/1/14
Alex Metreveli,NA,69 (02.11.1944),"Tbilisi, Georgia",NA,NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Russian Federation,Inactive,http://www.atpworldtour.com/Tennis/Players/Me/A/Alex-Metreveli.aspx,9,6/3/74,189-97,5,0,11/2/44,69y 0m 269d 18H 0M 0S,NA,NA,NA,NA,NA,189,97,0.660839161,R,NA,M,Tbilisi,Georgia,USA,,,,ATP,8/1/14
Alex O'Brien,NA,44 (07.03.1970),"Amarillo, TX, USA","Amarillo, TX, USA",1992,NA,NA,http://www.atpworldtour.com/~/media/4898B90FAA2542F791D19682272E348D.ashx?w=148&h=198,United States,Inactive,http://www.atpworldtour.com/Tennis/Players/Ob/A/Alex-Obrien.aspx,30,7/21/97,93-136,1,3535415,3/7/70,44y 0m 145d 0H 0M 0S,185,72.834685,6.069554656,195,88,93,136,0.406113537,R,25.8412456,M,Amarillo,Texas,USA,Amarillo,Texas,USA,ATP,8/1/14
Alex Radulescu,rah-du-LES-coo,39 (07.12.1974),"Bucharest, Romania",Monaco,1992,Klaus Hofsaess,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Germany,Inactive,http://www.atpworldtour.com/Tennis/Players/Ra/A/Alex-Radulescu.aspx,51,3/10/97,40-56,0,698887,12/7/74,39y 0m 235d 6H 0M 0S,185,72.834685,6.069554656,172,78,40,56,0.416666667,R,22.79330382,M,Bucharest,,Romania,Monaco,,Monaco,ATP,8/1/14
Alexander Mronz,mronts,49 (07.04.1965),"Cologne, Germany","Cologne, Germany",1987,Nial Mcaffer,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Germany,Inactive,http://www.atpworldtour.com/Tennis/Players/Mr/A/Alexander-Mronz.aspx,73,4/8/91,61-105,0,830234,4/7/65,49y 0m 113d 18H 0M 0S,188,74.015788,6.167979866,173,78,61,105,0.36746988,R,22.19998566,M,Cologne,,Germany,Cologne,,Germany,ATP,8/1/14
Alexander Peya,NA,34 (27.06.1980),"Vienna, Austria","Vienna, Austria",1998,"Scott Davidoff, Michael Oberleitner",NA,http://www.atpworldtour.com/~/media/16EDF04DCE6941A7B47526E7764872FA.ashx?w=148&h=198,Austria,3,http://www.atpworldtour.com/Tennis/Players/Top-Players/Alexander-Peya.aspx,-,4/30/07,22-51,0,2719221,6/27/80,34y 0m 32d 12H 0M 0S,183,72.047283,6.003937848,168,76,22,51,0.301369863,R,22.75251406,M,Vienna,,Austria,Vienna,,Austria,ATP,8/1/14
Alexander Popp,NA,37 (04.11.1976),"Heidelberg, Germany","Heidelberg,Germany",1997,NA,NA,http://www.atpworldtour.com/~/media/135FE7C066914ED895886FFEA77B6BB4.ashx?w=148&h=198,Germany,Inactive,http://www.atpworldtour.com/Tennis/Players/Po/A/Alexander-Popp.aspx,74,7/10/00,45-65,0,976038,11/4/76,37y 0m 267d 18H 0M 0S,201,79.133901,6.594489112,187,85,45,65,0.409090909,R,20.99286829,M,Heidelberg,,Germany,Heidelberg,,Germany,ATP,8/1/14
Alexander Volkov,NA,47 (03.03.1967),"Kaliningrad, Russia","Kaliningrad, Russia",1988,Valeri Chklyar,NA,http://www.atpworldtour.com/~/media/D876B9D4226E48459916FB2B8D0E72C5.ashx?w=148&h=198,Russian Federation,Inactive,http://www.atpworldtour.com/Tennis/Players/Vo/A/Alexander-Volkov.aspx,14,8/23/93,303-255,3,3362786,3/3/67,47y 0m 149d 6H 0M 0S,188,74.015788,6.167979866,175,79,303,255,0.543010753,L,22.45663289,M,Kaliningrad,,Russia,Kaliningrad,,Russia,ATP,8/1/14
Alexander Waske,vas-ke,39 (31.03.1975),"Frankfurt, Germany","Frankfurt, Germany",2000,Carsten Arriens,http://alexanderwaske.com,http://www.atpworldtour.com/~/media/753CC161106D499EB308ADDF89BB3B74.ashx?w=148&h=198,Germany,Inactive,http://www.atpworldtour.com/Tennis/Players/Wa/A/Alexander-Waske.aspx,89,6/12/06,28-64,0,1339987,3/31/75,39y 0m 121d 6H 0M 0S,188,74.015788,6.167979866,185,84,28,64,0.304347826,R,23.73986905,M,Frankfurt,,Germany,Frankfurt,,Germany,ATP,8/1/14
Alexandr Dolgopolov,NA,25 (07.11.1988),"Kiev, Ukraine","Monte Carlo, Monaco",2006,NA,http://www.alexdolgopolov.com,http://www.atpworldtour.com/~/media/7B0149C497234A77A81F53B7885EE5E5.ashx?w=148&h=198,Ukraine,17,http://www.atpworldtour.com/Tennis/Players/Top-Players/Alexandr-Dolgopolov.aspx,17,1/16/12,144-125,2,4546486,11/7/88,25y 0m 264d 18H 0M 0S,180,70.86618,5.905512638,157,71,144,125,0.535315985,R,21.97743131,M,Kiev,,Ukraine,Monte Carlo,,Monaco,ATP,8/1/14
Alexandre Simoni,SEE-mohn-ee,35 (02.07.1979),"Sao Paulo, Brazil","Sao Paulo, Brazil",1997,Rodrigo Simoni,NA,http://www.atpworldtour.com/~/media/66D15209C9DB4ADD847A5B966C6B118F.ashx?w=148&h=198,Brazil,Inactive,http://www.atpworldtour.com/Tennis/Players/Si/A/Alexandre-Simoni.aspx,96,7/16/01,22-Oct,0,394788,7/2/79,35y 0m 28d 6H 0M 0S,188,74.015788,6.167979866,172,78,10,22,0.3125,R,22.07166204,M,Sao Paulo,,Brazil,Sao Paulo,,Brazil,ATP,8/1/14
Aljaz Bedene,NA,25 (18.07.1989),"Ljubljana, Slovenia","London, UK",2008,"Igor Roric, Dirk Hordorff",http://www.aljazbedene.si/,http://www.atpworldtour.com/~/media/FE29028739D34E7285725A84B16079F6.ashx?w=148&h=198,Slovenia,135,http://www.atpworldtour.com/Tennis/Players/Be/A/Aljaz-Bedene.aspx,135,2/25/13,21-33,0,679580,7/18/89,25y 0m 11d 18H 0M 0S,183,72.047283,6.003937848,159,72,21,33,0.388888889,R,21.53362938,M,Ljubljana,,Slovenia,London,,United Kingdom,ATP,8/1/14
Allan Stone,NA,68 (14.10.1945),"Launceston, Australia",NA,NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Australia,Inactive,http://www.atpworldtour.com/Tennis/Players/St/A/Allan-J-Stone.aspx,38,4/8/75,175-218,0,0,10/14/45,68y 0m 289d 0H 0M 0S,NA,NA,NA,NA,NA,175,218,0.445292621,R,NA,M,Launceston,,Australia,,,,ATP,8/1/14
Alvaro Betancur,NA,64 (03.01.1950),"Medellin, Colombia","Wesley Chapel, Florida, USA",NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Colombia,Inactive,http://www.atpworldtour.com/Tennis/Players/Be/A/Alvaro-Betancur.aspx,68,10/11/76,34-76,0,0,1/3/50,64y 0m 208d 0H 0M 0S,NA,NA,NA,NA,NA,34,76,0.309090909,R,NA,M,Medellin,,Colombia,Wesley Chapel,Florida,USA,ATP,8/1/14
Alvin Gardiner,NA,63 (11.02.1951),NA,NA,NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Australia,Inactive,http://www.atpworldtour.com/Tennis/Players/Ga/A/Alvin-Gardiner.aspx,90,12/31/78,26-82,0,0,2/11/51,63y 0m 169d 6H 0M 0S,NA,NA,NA,NA,NA,26,82,0.240740741,R,NA,M,,,,,,,ATP,8/1/14
Amer Delic,NA,32 (30.06.1982),"Tuzla, Bosnia","Jacksonville, Florida, USA",2003,Craig O'Shannessy,http://www.amerdelic.com,http://www.atpworldtour.com/~/media/E966E540C6254280849A5CAC24B31E0B.ashx?w=148&h=198,Bosnia and Herzegovina,Inactive,http://www.atpworldtour.com/Tennis/Players/De/A/Amer-Delic.aspx,60,7/9/07,33-56,0,935409,6/30/82,32y 0m 30d 0H 0M 0S,196,77.165396,6.430447094,205,93,33,56,0.370786517,R,24.20271059,M,Tuzla,,Bosnia-Herzegovina,Jacksonville,Florida,USA,ATP,8/1/14
Amos Mansdorf,AH-mos,48 (20.10.1965),"Tel Aviv, Israel","Tel Aviv, Israel",1983,Dean Goldfine,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Israel,Inactive,http://www.atpworldtour.com/Tennis/Players/Ma/A/Amos-Mansdorf.aspx,18,11/16/87,304-230,6,2412691,10/20/65,48y 0m 283d 0H 0M 0S,175,68.897675,5.74147062,160,73,304,230,0.56928839,R,23.69551622,M,Tel Aviv,,Israel,Tel Aviv,,Israel,ATP,8/1/14
Anand Amritraj,NA,62 (20.03.1952),"Madras, India",NA,0,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,India,Inactive,http://www.atpworldtour.com/Tennis/Players/Am/A/Anand-Amritraj.aspx,74,11/6/74,92-174,0,332133,3/20/52,62y 0m 131d 12H 0M 0S,185,72.834685,6.069554656,170,77,92,174,0.345864662,R,22.5282654,M,Madras,,India,,,,ATP,8/1/14
Anders Jarryd,YAR-id,53 (13.07.1961),"Lidkoping, Sweden","Bastad, Sweden",1980,Jon-anders Sjogren,NA,http://www.atpworldtour.com/~/media/8B607A39F5B243C1AD9B0E78CCAC47D4.ashx?w=148&h=198,Sweden,Inactive,http://www.atpworldtour.com/Tennis/Players/Ja/A/Anders-Jarryd.aspx,5,7/22/85,396-261,8,5378067,7/13/61,53y 0m 16d 18H 0M 0S,180,70.86618,5.905512638,155,70,396,261,0.602739726,R,21.69746404,M,Lidkoping,,Sweden,Bastad,,Sweden,ATP,8/1/14
Andre Agassi,Ag-uh-see,44 (29.04.1970),"Las Vegas, Nevada, USA","Las Vegas, Nevada, USA",1986,Darren Cahill,NA,http://www.atpworldtour.com/~/media/E84328A4B95C4B29BD835FEC03963E0F.ashx?w=148&h=198,United States,Inactive,http://www.atpworldtour.com/Tennis/Players/Ag/A/Andre-Agassi.aspx,1,4/10/95,870-274,60,31152975,4/29/70,44y 0m 92d 0H 0M 0S,180,70.86618,5.905512638,177,80,870,274,0.76048951,R,24.77710409,M,Las Vegas,Nevada,USA,Las Vegas,Nevada,USA,ATP,8/1/14
Andre Sa,NA,37 (06.05.1977),"Belo Horizonte, Brazil","Blumenau, Brazil",1996,Daniel Melo,NA,http://www.atpworldtour.com/~/media/4B21D7320D0D49709CE20FA8246DB896.ashx?w=148&h=198,Brazil,61,http://www.atpworldtour.com/Tennis/Players/Top-Players/Andre-Sa.aspx,-,8/12/02,52-92,0,2250103,5/6/77,37y 0m 84d 18H 0M 0S,185,72.834685,6.069554656,163,74,52,92,0.361111111,R,21.60063094,M,Belo Horizonte,,Brazil,Blumenau,,Brazil,ATP,8/1/14
Andrea Gaudenzi,an-DRAY-a Gah-DEN-zee,41 (30.07.1973),"Faenza, Italy","Monte Carlo, Monaco",1990,NA,NA,http://www.atpworldtour.com/~/media/AC3B4BAC74914642AB8943E6DEEF3D03.ashx?w=148&h=198,Italy,Inactive,http://www.atpworldtour.com/Tennis/Players/Ga/A/Andrea-Gaudenzi.aspx,18,2/27/95,219-231,3,3063479,7/30/73,40y 0m 365d 0H 0M 0S,183,72.047283,6.003937848,185,84,219,231,0.486666667,R,25.0548518,M,Faenza,,Italy,Monte Carlo,,Monaco,ATP,8/1/14
Andreas Beck,NA,28 (05.02.1986),"Weingarten, Germany","Ravensburg, Germany",2003,Guenther Metzger,http://www.andi-beck.com,http://www.atpworldtour.com/~/media/EBC29463C2CC48C799DD4B3842D46670.ashx?w=148&h=198,Germany,112,http://www.atpworldtour.com/Tennis/Players/Be/A/Andreas-Beck.aspx,112,11/2/09,41-62,0,1418679,2/5/86,28y 0m 175d 0H 0M 0S,190,74.80319,6.233596673,198,90,41,62,0.398058252,L,24.8759845,M,Weingarten,,Germany,Ravensburg,,Germany,ATP,8/1/14
Andreas Haider-Maurer,NA,27 (22.03.1987),"Zwettl, Austria","Innsbruck, Austria",2005,Werner Eschauer,http://www.haider-maurer.at,http://www.atpworldtour.com/~/media/BA27CF8A48AE469CA132EAE91FB7F5B9.ashx?w=148&h=198,Austria,113,http://www.atpworldtour.com/Tennis/Players/Top-Players/Andreas-Haider-Maurer.aspx,113,7/25/11,22-39,0,947345,3/22/87,27y 0m 130d 6H 0M 0S,190,74.80319,6.233596673,196,89,22,39,0.360655738,R,24.62471193,M,Zwettl,,Austria,Innsbruck,,Austria,ATP,8/1/14
